Filialname,Straße,Postleitzahl Ort,Offen/Geschlossen(0/1)
Galeria Karstadt,Prager Str. 12,01069 Dresden,0
Galeria Kaufhof,August-Bebel-Straße 2,03046 Cottbus,0
Galeria Kaufhof,Neumarkt 1,04109 Leipzig,0
Galeria Kaufhof,Marktplatz 20,06108 Halle,0
Galeria Karstadt,Ratsgasse 2,06844 Dessau-Roßlau,1
Galeria Kaufhof,Alexanderplatz 9,10178 Berlin,0
Galeria Kaufhof,Frankfurter Allee 115-117,10365 Berlin,1
Galeria Karstadt,Wilmersdorfer Str. 118,10627 Berlin,1
Galeria Karstadt,Kurfürstendamm 231,10719 Berlin,0
Galeria Karstadt,Hermannplatz 5-10,10967 Berlin,0
Galeria Karstadt,Tempelhofer Damm 191,12099 Berlin,1
Galeria Karstadt,Schloßstr. 7-10,12163 Berlin,0
Galeria Karstadt,Johannisthaler Chaussee 317,12351 Berlin,1
Galeria Kaufhof,Prerower Platz 3,13051 Berlin,1
Galeria Karstadt,Müllerstr. 25,13353 Berlin,1
Galeria Karstadt,Carl-Schurz-Str. 20,13597 Berlin,0
Galeria Karstadt,Brandenburger Str. 49-52,14467 Potsdam,1
Galeria Kaufhof,Stargarder Str. 19,17033 Neubrandenburg,1
Galeria Kaufhof,Lange Straße 29-31,18055 Rostock,0
Galeria Kaufhof,Mönckebergstr. 3,20095 Hamburg,1
Galeria Karstadt,Mönckebergstr. 16,20095 Hamburg,0
Galeria Karstadt,Osterstr. 119,20259 Hamburg,0
Galeria Karstadt,Bergedorfer Markt 5-7,21029 Hamburg,1
Galeria Karstadt,Sachsentor 33-39,21029 Hamburg,1
Galeria Karstadt,Schloßmühlendamm 2,21073 Hamburg,0
Galeria Karstadt,Große Bäckerstr. 31,21335 Lüneburg,0
Galeria Karstadt,Wandsbeker Marktstr. 63-65,22041 Hamburg,1
Galeria Kaufhof,Kritenbarg 2,22391 Hamburg,1
Galeria Karstadt,De-Gasperi-Passage 8,22850 Norderstedt,1
Galeria Karstadt,Königstr. 54+56,23552 Lübeck,1
Galeria Karstadt,Rudolph-Karstadt-Platz 1,23966 Wismar,0
Galeria Karstadt,Sophienblatt 2,24103 Kiel,0
Galeria Karstadt,Großflecken 4-10,24534 Neumünster,1
Galeria Karstadt,Holm 7,24937 Flensburg,1
Galeria Kaufhof,Ritterstr. 17,26122 Oldenburg,0
Galeria Karstadt,Bürgermeister-Smidt-Str. 50-64,27568 Bremerhaven,1
Galeria Kaufhof,Papenstr. 5,28195 Bremen,1
Galeria Karstadt,Obernstr. 5-33,28195 Bremen,0
Galeria Karstadt,Bergstr. 1,29221 Celle,0
Galeria Karstadt,Georgstr. 23,30159 Hannover,1
Galeria Kaufhof,Ernst-August-Platz 5,30159 Hannover,0
Galeria Kaufhof,Seilwinderstraße 8,30159 Hannover,0
Galeria Kaufhof,Almsstr. 41,31134 Hildesheim,0
Galeria Kaufhof,Westernstraße 26,33098 Paderborn,0
Galeria Karstadt,Berliner Straße 21,33330 Gütersloh,1
Galeria Karstadt,Bahnhofstr. 15-17,33602 Bielefeld,1
Galeria Kaufhof,Obere Königsstr. 31,34117 Kassel,0
Galeria Karstadt,Seltersweg 64,35390 Gießen,0
Galeria Karstadt Schnäppchen-Center,Rodheimer Straße 116,35398 Gießen,0
Galeria Karstadt,Universitätsplatz 2,36037 Fulda,0
Galeria Kaufhof,Rabanusstr. 19,36037 Fulda,1
Galeria Karstadt,Groner Str. 43-47,37073 Göttingen,0
Galeria Kaufhof,Bohlweg 72,38100 Braunschweig,1
Galeria Karstadt,Schuhstraße 29-34,38100 Braunschweig,0
Galeria Karstadt,Rosentorstr. 1,38640 Goslar,1
Galeria Karstadt,Breiter Weg 128,39104 Magdeburg,0
Galeria Kaufhof,Am Wehrhahn 1,40211 Düsseldorf,1
